Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Post-demographic dividend,PST,18369745279450.5,26283490362507.8,45663523980497,45621668588058.9,46082323358324.4,47033622109453.8,44518542519300,45500484584505.3,47470259139153.2,50282104947774.3,50769917916181.5,..
GDP (current US$),NY.GDP.MKTP.CD,Pre-demographic dividend,PRE,197908305136.468,243903901162.695,1181588267636.94,1301869280376.94,1428106308372.66,1507685425623.48,1340468680424.61,1218123189348.83,1267095772749.34,1338754447613.99,1403794376560.53,..
GDP (current US$),NY.GDP.MKTP.CD,Small states,SST,74985438895.2482,128940492753.888,474361335043.012,494659019625.889,514336807607.285,530544302530.388,452652416568.461,445068532250.106,480558936881.719,528052950897.019,520457174770.632,..
GDP (current US$),NY.GDP.MKTP.CD,South Asia,SAS,407199618240.665,630429061929.228,2271837830662.84,2297332203012.9,2357132410757.71,2581822536186.75,2697257705966.27,2923010601938.01,3345716338949.23,3445471615274.75,3591836570466.89,..
GDP (current US$),NY.GDP.MKTP.CD,South Asia (IDA & IBRD),TSA,407199618240.665,630429061929.228,2271837830662.84,2297332203012.9,2357132410757.71,2581822536186.75,2697257705966.27,2923010601938.01,3345716338949.23,3445471615274.75,3591836570466.89,..
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa,SSF,340127469754.439,400342778834.955,1553945789839.36,1635107344173.13,1742079222307.11,1808737756281.44,1661914707751.22,1540370434904.87,1641784086541.64,1721156393779.71,1766941400078.09,..
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa (excluding high income),SSA,337112493414.058,395042771374.781,1541363847367.11,1622381989823.82,1728625447634.02,1794595480407.53,1648848763840.88,1526703538849.83,1626990301193.13,1705376028962.5,1751180043654.43,..
GDP (current US$),NY.GDP.MKTP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,340127469754.439,400342778834.955,1553945789839.36,1635107344173.13,1742079222307.11,1808737756281.44,1661914707751.22,1540370434904.87,1641784086541.64,1721156393779.7,1766941400078.09,..
GDP (current US$),NY.GDP.MKTP.CD,Upper middle income,UMC,2675704948544.13,4612564111643.89,19402769722100,20788268583622.6,22031378746747.7,22730001475259.2,21352171851051.4,21338913049379.8,23580671477850.7,25273285727694.1,25741843596304.4,..
GDP (current US$),NY.GDP.MKTP.CD,World,WLD,22626736590326,33623637910868.7,73460345663712,75161778950115.1,77316336530735,79453254441374.7,75217722628911.5,76368999871236.7,81306030232472.9,86439423191635.8,87734574388072.7,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 05/25/2021,,,,,,,,,,,,,,,
